Importing NLTK
Done!
Getting CMUDict
Done!
Getting tagged words from Treebank corpus
         4627650 function calls (4620864 primitive calls) in 6.715 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.006    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 numerictypes.py:289(_add_types)
        1    0.000    0.000    0.000    0.000 socket.py:78(<dictcomp>)
        1    0.000    0.000    0.028    0.028 __init__.py:44(<module>)
        1    0.000    0.000    0.004    0.004 pickle.py:24(<module>)
      135    0.000    0.000    0.000    0.000 os.py:651(__iter__)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
       39    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:92(_path_isdir)
        1    0.000    0.000    0.050    0.050 featstruct.py:90(<module>)
        1    0.000    0.000    0.006    0.006 random.py:37(<module>)
        1    0.000    0.000    0.001    0.001 chart.py:37(<module>)
       63    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 numeric.py:358(<listcomp>)
       16    0.000    0.000    0.000    0.000 functools.py:194(<listcomp>)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        2    0.000    0.000    0.030    0.015 __init__.py:45(<module>)
        1    0.000    0.000    0.020    0.020 drt.py:8(<module>)
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:459(_set_array_types)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.003    0.003 linalg.py:10(<module>)
        1    0.000    0.000    0.005    0.005 dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 linearlogic.py:8(<module>)
        5    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        1    0.000    0.000    0.001    0.001 wordnet.py:21(<module>)
        1    0.000    0.000    0.017    0.017 tempfile.py:16(<module>)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
        1    0.000    0.000    0.006    0.006 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 dependency.py:10(<module>)
        1    0.000    0.000    0.002    0.002 tarfile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.005    0.005 polynomial.py:55(<module>)
        1    0.000    0.000    0.001    0.001 filedialog.py:13(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
      327    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      110    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:282(create_unicode_buffer)
        1    0.000    0.000    0.153    0.153 internals.py:9(<module>)
        1    0.000    0.000    0.001    0.001 propbank.py:8(<module>)
        2    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.002    0.002 utils.py:4(<module>)
      193    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.009    0.009 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ycoe.py:20(<module>)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
       23    0.000    0.000    0.000    0.000 numerictypes.py:220(_evalname)
        2    0.000    0.000    0.017    0.009 __init__.py:10(<module>)
        1    0.000    0.000    0.003    0.003 regexp.py:8(<module>)
      175    0.000    0.000    0.000    0.000 grammar.py:288(__len__)
        3    0.000    0.000    0.035    0.012 api.py:154(abspaths)
        1    0.000    0.000    0.001    0.001 earleychart.py:27(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method print}
        1    0.000    0.000    0.001    0.001 pickle.py:180(<listcomp>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2322(__import__)
      111    0.000    0.000    0.000    0.000 util.py:229(__len__)
        2    0.000    0.000    0.006    0.003 __init__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 textwrap.py:219(_wrap_chunks)
        1    0.000    0.000    0.010    0.010 platform.py:10(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method POINTER}
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
        1    0.000    0.000    0.002    0.002 chunked.py:12(<module>)
        1    0.000    0.000    0.008    0.008 case.py:1(<module>)
        1    0.000    0.000    0.023    0.023 boxer.py:26(<module>)
        1    0.000    0.000    0.012    0.012 subprocess.py:345(<module>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:411(_bytes_to_codes)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 token.py:71(<dictcomp>)
        1    0.000    0.000    0.003    0.003 header.py:5(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:15(<module>)
        1    0.000    0.000    0.007    0.007 chart.py:31(<module>)
        1    0.000    0.000    0.006    0.006 _internal.py:6(<module>)
       58    0.000    0.000    0.000    0.000 grammar.py:107(__init__)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       45    0.000    0.000    0.001    0.000 os.py:642(__delitem__)
        1    0.000    0.000    0.011    0.011 charset.py:6(<module>)
        1    0.000    0.000    0.002    0.002 tagged.py:12(<module>)
        1    0.000    0.000    0.018    0.018 __init__.py:83(<module>)
        2    0.000    0.000    0.033    0.016 util.py:50(__load)
       39    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
        2    0.000    0.000    0.002    0.001 grammar.py:430(__init__)
        1    0.000    0.000    0.001    0.001 sinica_treebank.py:39(<module>)
        1    0.000    0.000    0.000    0.000 nps_chat.py:7(<module>)
       34    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.090    0.090 discourse.py:44(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
      413    0.000    0.000    0.000    0.000 {built-in method globals}
      141    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.020    0.020 sequential.py:19(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:788(_construct_lookups)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 commondialog.py:11(<module>)
        1    0.000    0.000    0.000    0.000 senseval.py:23(<module>)
        1    0.000    0.000    0.000    0.000 nombank.py:9(<module>)
        1    0.000    0.000    0.000    0.000 rte.py:34(<module>)
        1    0.000    0.000    0.000    0.000 timit.py:120(<module>)
        1    0.000    0.000    0.002    0.002 toolbox.py:13(<module>)
        1    0.000    0.000    0.001    0.001 switchboard.py:7(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        3    0.000    0.000    0.000    0.000 util.py:404(concat)
       16    0.000    0.000    0.000    0.000 __init__.py:62(__setitem__)
        1    0.000    0.000    0.001    0.001 maxent.py:53(<module>)
        1    0.000    0.000    0.003    0.003 pl196x.py:8(<module>)
        1    0.000    0.000    0.003    0.003 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 conll.py:11(<module>)
        1    0.000    0.000    0.088    0.088 glue.py:8(<module>)
        1    0.000    0.000    0.007    0.007 evaluate.py:15(<module>)
        1    0.000    0.000    0.000    0.000 os.py:663(copy)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       10    0.000    0.000    0.000    0.000 regexp.py:104(__init__)
        1    0.000    0.000    0.000    0.000 framenet.py:8(<module>)
        1    0.000    0.000    0.002    0.002 snowball.py:20(<module>)
        1    0.000    0.000    0.002    0.002 mace.py:11(<module>)
        1    0.000    0.000    0.000    0.000 indian.py:19(<module>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:451(_add_array_type)
        2    0.000    0.000    0.000    0.000 nturl2path.py:3(url2pathname)
        1    0.000    0.000    0.001    0.001 transitionparser.py:9(<module>)
        3    0.000    0.000    0.000    0.000 sre_parse.py:779(parse_template)
       52    0.000    0.000    0.000    0.000 grammar.py:220(is_terminal)
        1    0.000    0.000    0.001    0.001 featurechart.py:13(<module>)
        1    0.000    0.000    0.054    0.054 message.py:5(<module>)
        1    0.000    0.000    0.000    0.000 util.py:21(VectorSpaceClusterer)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        2    0.000    0.000    0.000    0.000 util.py:324(invert_graph)
        1    0.000    0.000    0.202    0.202 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.084    0.084 type_check.py:3(<module>)
        1    0.000    0.000    0.000    0.000 regexp.py:67(<module>)
        1    0.000    0.000    0.001    0.001 text.py:15(<module>)
        1    0.000    0.000    0.000    0.000 case.py:316(TestCase)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
       24    0.000    0.000    0.000    0.000 functools.py:73(wraps)
        1    0.000    0.000    2.703    2.703 rhyme_generator.py:2(<module>)
        1    0.000    0.000    0.000    0.000 imp.py:7(<module>)
        3    0.000    0.000    0.000    0.000 api.py:10(<module>)
        1    0.000    0.000    0.007    0.007 xmldocs.py:12(<module>)
        1    0.000    0.000    0.010    0.010 cfg.py:10(<module>)
        1    0.000    0.000    6.715    6.715 sentence_generator.py:2(<module>)
        1    0.000    0.000    0.008    0.008 polynomial.py:4(<module>)
        1    0.000    0.000    0.001    0.001 bracket_parse.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ppattach.py:39(<module>)
        2    0.000    0.000    0.000    0.000 util.py:12(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.002    0.002 lzma.py:9(<module>)
        1    0.000    0.000    0.002    0.002 punkt.py:101(<module>)
        1    0.000    0.000    0.003    0.003 util.py:35(<module>)
        1    0.000    0.000    0.000    0.000 downloader.py:1129(DownloaderGUI)
        4    0.000    0.000    0.000    0.000 __init__.py:368(__getitem__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method txt2obj}
      108    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 wordnet.py:979(WordNetCorpusReader)
        1    0.000    0.000    0.000    0.000 chasen.py:8(<module>)
        2    0.000    0.000    0.001    0.000 enum.py:295(_create_)
       46    0.000    0.000    0.000    0.000 _collections_abc.py:496(__iter__)
      199    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.031    0.031 __init__.py:7(<module>)
       40    0.000    0.000    0.000    0.000 probability.py:2022(__init__)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 hmm.py:70(<module>)
        1    0.000    0.000    0.004    0.004 lexicon.py:7(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:15(<module>)
       18    0.000    0.000    0.000    0.000 api.py:134(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        5    0.000    0.000    0.000    0.000 enum.py:387(_find_new_)
        1    0.000    0.000    0.039    0.039 __init__.py:42(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 pchart.py:31(<module>)
       10    0.000    0.000    0.000    0.000 sre_parse.py:224(getwhile)
        1    0.000    0.000    0.004    0.004 hashlib.py:53(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:131(<dictcomp>)
        1    0.000    0.000    0.000    0.000 string_category.py:18(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1697(__init__)
        1    0.000    0.000    0.000    0.000 ieer.py:22(<module>)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1729(<genexpr>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:974(_Unpickler)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       13    0.000    0.000    0.000    0.000 featstruct.py:553(_check_frozen)
        1    0.000    0.000    0.003    0.003 decoder.py:2(<module>)
      200    0.000    0.000    0.000    0.000 util.py:416(<genexpr>)
        3    0.000    0.000    0.001    0.000 warnings.py:32(filterwarnings)
        1    0.000    0.000    0.000    0.000 __init__.py:266(_reset_cache)
        1    0.000    0.000    0.000    0.000 numerictypes.py:346(_add_integer_aliases)
       72    0.000    0.000    0.000    0.000 numerictypes.py:131(english_lower)
        1    0.000    0.000    0.000    0.000 wordlist.py:9(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 weka.py:10(<module>)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
        1    0.000    0.000    0.249    0.249 collocations.py:25(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 cmudict.py:46(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 hunpos.py:13(<module>)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:426(__contains__)
       78    0.000    0.000    0.000    0.000 grammar.py:208(is_nonterminal)
        2    0.000    0.000    0.001    0.001 __init__.py:69(search_function)
        1    0.000    0.000    0.002    0.002 malt.py:8(<module>)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2187(_sanity_check)
        1    0.000    0.000    0.000    0.000 linearlogic.py:199(ImpExpression)
        1    0.000    0.000    0.001    0.001 api.py:19(<module>)
       23    0.000    0.000    0.001    0.000 core.py:6063(__init__)
       23    0.000    0.000    0.000    0.000 {built-in method calcsize}
        1    0.000    0.000    0.008    0.008 featstruct.py:1941(FeatStructReader)
        1    0.000    0.000    0.000    0.000 decisiontree.py:12(<module>)
        1    0.000    0.000    0.001    0.001 agreement.py:70(<module>)
        1    0.000    0.000    0.002    0.002 message.py:106(Message)
        1    0.000    0.000    0.000    0.000 semcor.py:10(<module>)
        1    0.000    0.000    0.000    0.000 aligned.py:8(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.018    0.018 util.py:736(find_corpus_fileids)
       14    0.000    0.000    0.000    0.000 py3k.py:28(asbytes)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:144(__enter__)
        6    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.001    0.001 scores.py:8(<module>)
        1    0.000    0.000    0.000    0.000 childes.py:11(<module>)
        1    0.000    0.000    0.000    0.000 tableau.py:11(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.006    0.006 brill.py:11(<module>)
        2    0.000    0.000    0.000    0.000 data.py:188(normalize_resource_name)
        1    0.000    0.000    0.000    0.000 toolbox.py:12(<module>)
      127    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.000    0.000 projectivedependencyparser.py:9(<module>)
        1    0.000    0.000    0.001    0.001 textcat.py:29(<module>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
       59    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.058    0.058 feedparser.py:20(<module>)
       58    0.000    0.000    0.000    0.000 _collections_abc.py:475(__iter__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.005    0.005 tree.py:10(<module>)
        1    0.000    0.000    0.000    0.000 dependencygraph.py:15(<module>)
       25    0.000    0.000    0.000    0.000 grammar.py:413(__hash__)
       28    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
     29/7    0.000    0.000    0.000    0.000 {built-in method all}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:141(__init__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
       41    0.000    0.000    0.000    0.000 {built-in method _getframe}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 regexp.py:902(RegexpChunkParser)
       20    0.000    0.000    0.001    0.000 ntpath.py:251(dirname)
        1    0.000    0.000    0.002    0.002 bllip.py:9(<module>)
       63    0.000    0.000    0.000    0.000 __init__.py:87(__iter__)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:97(<module>)
        1    0.000    0.000    0.001    0.001 inspect.py:2379(from_function)
        1    0.000    0.000    0.000    0.000 crubadan.py:20(<module>)
        1    0.000    0.000    0.005    0.005 _policybase.py:4(<module>)
       19    0.000    0.000    0.000    0.000 util.py:309(<genexpr>)
        1    0.000    0.000    0.000    0.000 rule.py:11(<module>)
        1    0.000    0.000    0.001    0.001 _collections_abc.py:567(clear)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
      162    0.000    0.000    0.000    0.000 grammar.py:272(lhs)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 relextract.py:21(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:436(_construct_char_code_lookup)
       40    0.000    0.000    0.000    0.000 probability.py:2045(set_prob)
       10    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        1    0.000    0.000    0.005    0.005 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nkjp.py:8(<module>)
        1    0.000    0.000    0.003    0.003 downloader.py:911(default_download_dir)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cfg.py:136(CFGEditor)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       19    0.000    0.000    0.000    0.000 grammar.py:482(<genexpr>)
       18    0.000    0.000    0.000    0.000 lexicon.py:109(parseApplication)
        1    0.000    0.000    0.000    0.000 stanford.py:18(<module>)
        1    0.000    0.000    0.000    0.000 nonprojectivedependencyparser.py:9(<module>)
        2    0.000    0.000    0.018    0.009 api.py:43(__init__)
        1    0.000    0.000    0.001    0.001 inspect.py:943(getfullargspec)
       42    0.000    0.000    0.000    0.000 grammar.py:449(<genexpr>)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1059(__init__)
        1    0.000    0.000    0.001    0.001 association.py:12(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:387(_set_up_aliases)
        2    0.000    0.000    0.000    0.000 util.py:115(_make_bound_method)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.002    0.002 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 api.py:7(<module>)
       45    0.000    0.000    0.000    0.000 os.py:682(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        1    0.000    0.000    0.000    0.000 senna.py:37(<module>)
        1    0.000    0.000    0.000    0.000 table.py:22(MultiListbox)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 util.py:11(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        5    0.000    0.000    0.000    0.000 lazyimport.py:62(__init__)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:69(__call__)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.001    0.001 crf.py:11(<module>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       14    0.000    0.000    0.000    0.000 grammar.py:639(<genexpr>)
       46    0.000    0.000    0.000    0.000 {built-in method iter}
       21    0.000    0.000    0.000    0.000 {built-in method empty}
        1    0.000    0.000    0.000    0.000 kmeans.py:7(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:98(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 enum.py:434(Enum)
        1    0.000    0.000    0.001    0.001 decorators.py:32(getinfo)
        2    0.000    0.000    0.000    0.000 grammar.py:633(_calculate_grammar_forms)
       22    0.000    0.000    0.000    0.000 grammar.py:296(is_nonlexical)
        9    0.000    0.000    0.000    0.000 {built-in method round}
        1    0.000    0.000    0.087    0.087 __init__.py:153(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1127(getLogger)
        1    0.000    0.000    0.001    0.001 scikitlearn.py:32(<module>)
       58    0.000    0.000    0.000    0.000 grammar.py:302(<genexpr>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:16(<module>)
      163    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.003    0.003 result.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       32    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
        1    0.000    0.000    0.000    0.000 isri.py:38(ISRIStemmer)
        1    0.000    0.000    0.000    0.000 tnt.py:14(<module>)
        1    0.000    0.000    0.000    0.000 texttiling.py:9(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x02E282B8}
        1    0.000    0.000    0.001    0.001 ibm1.py:15(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1178(_fixupParents)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        3    0.000    0.000    0.000    0.000 lexicon.py:86(matchBrackets)
       65    0.000    0.000    0.000    0.000 probability.py:2067(prob)
       16    0.000    0.000    0.000    0.000 enum.py:8(_is_descriptor)
        5    0.000    0.000    0.000    0.000 enum.py:342(_get_mixins_)
        1    0.000    0.000    0.029    0.029 bleu_score.py:9(<module>)
        1    0.000    0.000    0.005    0.005 string.py:61(__init__)
        1    0.000    0.000    0.060    0.060 parser.py:5(<module>)
        1    0.000    0.000    0.002    0.002 verbnet.py:13(<module>)
       40    0.000    0.000    0.000    0.000 lexicon.py:113(parseSubscripts)
        1    0.000    0.000    0.006    0.006 string.py:15(<module>)
        1    0.000    0.000    0.001    0.001 decorators.py:7(<module>)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        4    0.000    0.000    0.000    0.000 contextlib.py:96(contextmanager)
        1    0.000    0.000    0.000    0.000 tadm.py:7(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:261(Request)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2231(Canvas)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.002    0.002 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.000    0.000 ibm3.py:9(<module>)
        1    0.000    0.000    0.000    0.000 table.py:10(<module>)
        6    0.000    0.000    0.000    0.000 compat.py:388(py3_data)
        1    0.000    0.000    0.000    0.000 ssl.py:494(SSLSocket)
        2    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 recursivedescent.py:8(<module>)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 plaintext.py:23(PlaintextCorpusReader)
        1    0.000    0.000    0.000    0.000 knbc.py:9(<module>)
        1    0.000    0.000    0.003    0.003 template.py:11(<module>)
        1    0.000    0.000    0.007    0.007 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
       10    0.000    0.000    0.000    0.000 {built-in method charmap_encode}
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        9    0.000    0.000    0.000    0.000 core.py:2439(getdoc)
        8    0.000    0.000    0.000    0.000 core.py:7295(getdoc)
        6    0.000    0.000    0.000    0.000 abc.py:151(register)
        1    0.000    0.000    0.001    0.001 lin.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1582(Wm)
        1    0.000    0.000    0.002    0.002 simple.py:36(<module>)
       20    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 regexp.py:9(<module>)
        1    0.000    0.000    0.001    0.001 rte_classify.py:18(<module>)
        1    0.000    0.000    0.000    0.000 drt.py:52(__init__)
       18    0.000    0.000    0.000    0.000 api.py:285(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:1290(datetime)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:438(items)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 lfg.py:8(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 tarfile.py:718(TarInfo)
        1    0.000    0.000    0.006    0.006 __init__.py:80(<module>)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        6    0.000    0.000    0.000    0.000 ipipan.py:14(_parse_args)
        1    0.000    0.000    0.000    0.000 viterbi.py:8(<module>)
        1    0.000    0.000    0.000    0.000 shiftreduce.py:8(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1234(__init__)
        1    0.000    0.000    0.000    0.000 brill_trainer.py:11(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7290(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        2    0.000    0.000    0.000    0.000 ntpath.py:318(expanduser)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
        1    0.000    0.000    0.000    0.000 request.py:923(AbstractDigestAuthHandler)
       19    0.000    0.000    0.000    0.000 tokenize.py:109(group)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:506(SpooledTemporaryFile)
        2    0.000    0.000    0.000    0.000 {built-in method sorted}
       11    0.000    0.000    0.000    0.000 jsontags.py:24(register_tag)
        1    0.000    0.000    0.000    0.000 help.py:10(<module>)
        3    0.000    0.000    0.000    0.000 re.py:239(escape)
        1    0.000    0.000    0.000    0.000 chomsky.py:14(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 megam.py:24(<module>)
        4    0.000    0.000    0.000    0.000 core.py:92(doc_note)
        1    0.000    0.000    0.000    0.000 mace.py:24(MaceCommand)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 agreement.py:85(AnnotationTask)
        1    0.000    0.000    0.000    0.000 tree.py:32(Tree)
        1    0.000    0.000    0.000    0.000 data.py:979(SeekableUnicodeStreamReader)
       32    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 textwrap.py:400(dedent)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
