Importing NLTK
Done!
Getting CMUDict
Done!
Getting tagged words from Treebank corpus
         4627650 function calls (4620864 primitive calls) in 6.715 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      205    0.004    0.000    0.009    0.000 ntpath.py:486(normpath)
      708    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
      397    0.004    0.000    0.184    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
     3836    0.004    0.000    0.006    0.000 sre_parse.py:142(__getitem__)
     5437    0.004    0.000    0.016    0.000 sre_parse.py:220(get)
      397    0.004    0.000    0.045    0.000 <frozen importlib._bootstrap>:1408(_search_registry)
     2287    0.003    0.000    2.818    0.001 api.py:402(reader)
      317    0.003    0.000    0.003    0.000 compat.py:375(add_py3_data)
      708    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:217(release)
    362/5    0.003    0.000    6.710    1.342 <frozen importlib._bootstrap>:1465(exec_module)
      845    0.003    0.000    0.003    0.000 {built-in method allocate_lock}
      397    0.003    0.000    0.039    0.000 <frozen importlib._bootstrap>:1401(_open_registry)
     2675    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
 1821/995    0.003    0.000    0.372    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
     2907    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
      362    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:129(_new_module)
     6020    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      416    0.002    0.000    0.012    0.000 ntpath.py:104(join)
  417/156    0.002    0.000    0.047    0.000 sre_parse.py:363(_parse_sub)
      362    0.002    0.000    0.089    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
     1488    0.002    0.000    0.158    0.000 <frozen importlib._bootstrap>:68(_path_stat)
      381    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
      362    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:739(__exit__)
      749    0.002    0.000    0.002    0.000 {method 'rsplit' of 'str' objects}
      724    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:824(cached)
      381    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
     2470    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      336    0.002    0.000    0.012    0.000 sre_compile.py:227(_compile_charset)
      274    0.002    0.000    0.005    0.000 function_base.py:3251(add_newdoc)
      425    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:261(__enter__)
      156    0.002    0.000    0.089    0.001 sre_compile.py:563(compile)
      156    0.002    0.000    0.009    0.000 sre_compile.py:444(_compile_info)
      747    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
      362    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:1099(create)
      421    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:172(__init__)
      460    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
       39    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
     2677    0.001    0.000    0.003    0.000 sre_parse.py:214(match)
      156    0.001    0.000    0.051    0.000 sre_parse.py:750(parse)
       16    0.001    0.000    0.001    0.000 {built-in method init_builtin}
   343/26    0.001    0.000    0.455    0.017 {built-in method __import__}
      317    0.001    0.000    0.037    0.000 compat.py:389(_decorator)
     1604    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:2124(__exit__)
      283    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:293(_lock_unlock_module)
       20    0.001    0.000    0.025    0.001 __init__.py:301(namedtuple)
        1    0.001    0.001    0.001    0.001 ibm1.py:19(IBMModel1)
      413    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:790(__init__)
      362    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:1631(path_stats)
      936    0.001    0.000    0.001    0.000 sre_parse.py:90(__init__)
     1608    0.001    0.000    0.002    0.000 sre_parse.py:150(append)
      413    0.001    0.000    0.002    0.000 sre_compile.py:418(_simple)
     1604    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:2120(__enter__)
      362    0.001    0.000    0.001    0.000 {built-in method _fix_co_filename}
       94    0.001    0.000    0.001    0.000 {built-in method putenv}
      111    0.001    0.000    0.007    0.000 util.py:216(close)
